id;name;slug;uic;uic8_sncf;latitude;longitude;parent_station_id;country;time_zone;is_city;is_main_station;is_airport;is_suggestable;country_hint;main_station_hint;sncf_id;sncf_tvs_id;sncf_is_enabled;idtgv_id;idtgv_is_enabled;db_id;db_is_enabled;busbud_id;busbud_is_enabled;distribusion_id;distribusion_is_enabled;flixbus_id;flixbus_is_enabled;cff_id;cff_is_enabled;leoexpress_id;leoexpress_is_enabled;obb_id;obb_is_enabled;ouigo_id;ouigo_is_enabled;trenitalia_id;trenitalia_is_enabled;trenitalia_rtvt_id;ntv_rtiv_id;ntv_id;ntv_is_enabled;hkx_id;hkx_is_enabled;renfe_id;renfe_is_enabled;atoc_id;atoc_is_enabled;benerail_id;benerail_is_enabled;westbahn_id;westbahn_is_enabled;sncf_self_service_machine;same_as;info:de;info:en;info:es;info:fr;info:it;info:nb;info:nl;info:cs;info:da;info:hu;info:ja;info:ko;info:pl;info:pt;info:ru;info:sv;info:tr;info:zh;normalised_code;iata_airport_code
11279;Bremen-Oberneuland;bremen-oberneuland;8013766;;53.087064;8.93854;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001161;t;;f;;f;;f;;f;;f;8001161;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11279;
11280;Bremen-Oslebshausen;bremen-oslebshausen;8013768;;53.135381;8.7404;28992;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001162;t;;f;;f;;f;;f;;f;8001162;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;Brema;Brême;Brema;;;Brémy;;Bréma;ブレーメン;브레멘;Brema;;Бремен;;;不来梅;urn:trainline:public:nloc:csv11280;
11281;Bremen-Schönebeck;bremen-schonebeck;8013773;;53.172803;8.649483;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001163;t;;f;;f;;f;;f;;f;8001163;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11281;
11282;Bremen-Sebaldsbrück;bremen-sebaldsbruck;8013748;;53.061508;8.887086;28992;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001164;t;;f;;f;;f;;f;;f;8001164;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;Brema;Brême;Brema;;;Brémy;;Bréma;ブレーメン;브레멘;Brema;;Бремен;;;不来梅;urn:trainline:public:nloc:csv11282;
11283;Bremen-St Magnus;bremen-st-magnus;8013771;;53.171581;8.669736;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001165;t;;f;;f;;f;;f;;f;8001165;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11283;
11284;Bremen-Vegesack;bremen-vegesack;8013772;;53.169351;8.629167;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001166;t;;f;;f;;f;;f;;f;8001166;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11284;
11285;Bremen-Walle;bremen-walle;8013767;;53.103541;8.786317;28992;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001167;t;;f;;f;;f;;f;;f;8001167;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;Brema;Brême;Brema;;;Brémy;;Bréma;ブレーメン;브레멘;Brema;;Бремен;;;不来梅;urn:trainline:public:nloc:csv11285;
11286;Bremerhaven-Wulsdorf;bremerhaven-wulsdorf;8013781;;53.508415;8.612268;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001170;t;;f;;f;;f;;f;;f;8001170;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11286;
11287;Wehr-Brennet;wehr-brennet;8014465;;47.580919;7.910525;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001174;t;;f;;f;;f;;f;;f;8001174;f;;f;;f;;;;f;;f;;f;;f;DEWBT;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11287;
11288;Brettorf;brettorf;8021603;;52.967031;8.446956;;DE;Europe/Berlin;f;f;f;t;f;f;;;f;;f;8001176;t;;f;;f;;f;;f;;f;8001176;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv11288;
